Iteration;Period;Output;Value;Type
"1";"1";OSUPREC;117.64706;Total
"1";"1";OVOLREC;20000.00000;Total
"1";"1";OSUPPL;0.00000;Total
"1";"1";VOLINVENT;288274.19059;Total
"6";"1";OSUPREC;117.64706;Total
"6";"1";OVOLREC;20000.00000;Total
"6";"1";OSUPPL;0.00000;Total
"6";"1";VOLINVENT;288274.19059;Total
"1";"2";OSUPREC;111.11111;Total
"1";"2";OVOLREC;20000.00000;Total
"1";"2";OSUPPL;0.00000;Total
"1";"2";VOLINVENT;287096.25229;Total
"6";"2";OSUPREC;111.11111;Total
"6";"2";OVOLREC;20000.00000;Total
"6";"2";OSUPPL;0.00000;Total
"6";"2";VOLINVENT;287096.25229;Total
"1";"3";OSUPREC;105.26316;Total
"1";"3";OVOLREC;20000.00000;Total
"1";"3";OSUPPL;0.00000;Total
"1";"3";VOLINVENT;286164.38557;Total
"6";"3";OSUPREC;105.26316;Total
"6";"3";OVOLREC;20000.00000;Total
"6";"3";OSUPPL;0.00000;Total
"6";"3";VOLINVENT;286164.38557;Total
"1";"4";OSUPREC;95.99026;Total
"1";"4";OVOLREC;20000.00000;Total
"1";"4";OSUPPL;26.73159;Total
"1";"4";VOLINVENT;282451.36278;Total
"6";"4";OSUPREC;95.99026;Total
"6";"4";OVOLREC;20000.00000;Total
"6";"4";OSUPPL;26.73159;Total
"6";"4";VOLINVENT;282451.36278;Total
"6";"5";OSUPREC;93.45794;Total
"6";"5";OVOLREC;20000.00000;Total
"6";"5";OSUPPL;93.45794;Total
"6";"5";VOLINVENT;281296.26599;Total
"1";"5";OSUPREC;93.45794;Total
"1";"5";OVOLREC;20000.00000;Total
"1";"5";OSUPPL;93.45794;Total
"1";"5";VOLINVENT;281296.26599;Total
"1";"6";OSUPREC;159.23945;Total
"1";"6";OVOLREC;20000.00000;Total
"1";"6";OSUPPL;41.59239;Total
"1";"6";VOLINVENT;281638.49539;Total
"6";"6";OSUPREC;159.23945;Total
"6";"6";OVOLREC;20000.00000;Total
"6";"6";OSUPPL;41.59239;Total
"6";"6";VOLINVENT;281638.49539;Total
"1";"7";OSUPREC;161.51576;Total
"1";"7";OVOLREC;20000.00000;Total
"1";"7";OSUPPL;50.40465;Total
"1";"7";VOLINVENT;279085.00118;Total
"6";"7";OSUPREC;161.51576;Total
"6";"7";OVOLREC;20000.00000;Total
"6";"7";OSUPPL;50.40465;Total
"6";"7";VOLINVENT;279085.00118;Total
"1";"8";OSUPREC;162.67943;Total
"1";"8";OVOLREC;20000.00000;Total
"1";"8";OSUPPL;57.41627;Total
"1";"8";VOLINVENT;271661.38965;Total
"6";"8";OSUPREC;162.67943;Total
"6";"8";OVOLREC;20000.00000;Total
"6";"8";OSUPPL;57.41627;Total
"6";"8";VOLINVENT;271661.38965;Total
"1";"9";OSUPREC;155.42440;Total
"1";"9";OVOLREC;20000.00000;Total
"1";"9";OSUPPL;59.43414;Total
"1";"9";VOLINVENT;264832.11948;Total
"6";"9";OSUPREC;155.42440;Total
"6";"9";OVOLREC;20000.00000;Total
"6";"9";OSUPPL;59.43414;Total
"6";"9";VOLINVENT;264832.11948;Total
"6";"10";OSUPREC;136.89344;Total
"6";"10";OVOLREC;20000.00000;Total
"6";"10";OSUPPL;74.24302;Total
"6";"10";VOLINVENT;254001.12423;Total
"1";"10";OSUPREC;136.89344;Total
"1";"10";OVOLREC;20000.00000;Total
"1";"10";OSUPPL;74.24302;Total
"1";"10";VOLINVENT;254001.12423;Total
"1";"11";OSUPREC;193.39930;Total
"1";"11";OVOLREC;20000.00000;Total
"1";"11";OSUPPL;3.35233;Total
"1";"11";VOLINVENT;243511.72750;Total
"6";"11";OSUPREC;193.39930;Total
"6";"11";OVOLREC;20000.00000;Total
"6";"11";OSUPPL;3.35233;Total
"6";"11";VOLINVENT;243511.72750;Total
"1";"12";OSUPREC;187.17192;Total
"1";"12";OVOLREC;20000.00000;Total
"1";"12";OSUPPL;25.65616;Total
"1";"12";VOLINVENT;236761.69393;Total
"6";"12";OSUPREC;187.17192;Total
"6";"12";OVOLREC;20000.00000;Total
"6";"12";OSUPPL;25.65616;Total
"6";"12";VOLINVENT;236761.69393;Total
"1";"13";OSUPREC;187.55981;Total
"1";"13";OVOLREC;20000.00000;Total
"1";"13";OSUPPL;24.88038;Total
"1";"13";VOLINVENT;229719.46965;Total
"6";"13";OSUPREC;187.55981;Total
"6";"13";OVOLREC;20000.00000;Total
"6";"13";OSUPPL;24.88038;Total
"6";"13";VOLINVENT;229719.46965;Total
"1";"14";OSUPREC;185.14147;Total
"1";"14";OVOLREC;20000.00000;Total
"1";"14";OSUPPL;29.71707;Total
"1";"14";VOLINVENT;223271.58673;Total
"6";"14";OSUPREC;185.14147;Total
"6";"14";OVOLREC;20000.00000;Total
"6";"14";OSUPPL;29.71707;Total
"6";"14";VOLINVENT;223271.58673;Total
"1";"15";OSUPREC;139.30680;Total
"1";"15";OVOLREC;20000.00000;Total
"1";"15";OSUPPL;121.38639;Total
"1";"15";VOLINVENT;221287.94141;Total
"6";"15";OSUPREC;139.30680;Total
"6";"15";OVOLREC;20000.00000;Total
"6";"15";OSUPPL;121.38639;Total
"6";"15";VOLINVENT;221287.94141;Total
"1";"16";OSUPREC;192.57570;Total
"1";"16";OVOLREC;20000.00000;Total
"1";"16";OSUPPL;0.00000;Total
"1";"16";VOLINVENT;219296.06002;Total
"6";"16";OSUPREC;192.57570;Total
"6";"16";OVOLREC;20000.00000;Total
"6";"16";OSUPPL;0.00000;Total
"6";"16";VOLINVENT;219296.06002;Total
"1";"17";OSUPREC;198.83381;Total
"1";"17";OVOLREC;20000.00000;Total
"1";"17";OSUPPL;0.00000;Total
"1";"17";VOLINVENT;217420.79753;Total
"6";"17";OSUPREC;198.83381;Total
"6";"17";OVOLREC;20000.00000;Total
"6";"17";OSUPPL;0.00000;Total
"6";"17";VOLINVENT;217420.79753;Total
"1";"18";OSUPREC;197.92663;Total
"1";"18";OVOLREC;20000.00000;Total
"1";"18";OSUPPL;0.00000;Total
"1";"18";VOLINVENT;214691.28820;Total
"6";"18";OSUPREC;197.92663;Total
"6";"18";OVOLREC;20000.00000;Total
"6";"18";OSUPPL;0.00000;Total
"6";"18";VOLINVENT;214691.28820;Total
"1";"19";OSUPREC;196.57111;Total
"1";"19";OVOLREC;20000.00000;Total
"1";"19";OSUPPL;0.00000;Total
"1";"19";VOLINVENT;212076.07529;Total
"6";"19";OSUPREC;196.57111;Total
"6";"19";OVOLREC;20000.00000;Total
"6";"19";OSUPPL;0.00000;Total
"6";"19";VOLINVENT;212076.07529;Total
"1";"20";OSUPREC;177.63500;Total
"1";"20";OVOLREC;20000.00000;Total
"1";"20";OSUPPL;0.00000;Total
"1";"20";VOLINVENT;209844.14431;Total
"6";"20";OSUPREC;177.63500;Total
"6";"20";OVOLREC;20000.00000;Total
"6";"20";OSUPPL;0.00000;Total
"6";"20";VOLINVENT;209844.14431;Total
"2";"1";OSUPREC;117.64706;Total
"2";"1";OVOLREC;20000.00000;Total
"2";"1";OSUPPL;0.00000;Total
"2";"1";VOLINVENT;288274.19059;Total
"7";"1";OSUPREC;117.64706;Total
"7";"1";OVOLREC;20000.00000;Total
"7";"1";OSUPPL;0.00000;Total
"7";"1";VOLINVENT;288274.19059;Total
"2";"2";OSUPREC;111.11111;Total
"2";"2";OVOLREC;20000.00000;Total
"2";"2";OSUPPL;0.00000;Total
"2";"2";VOLINVENT;287096.25229;Total
"7";"2";OSUPREC;111.11111;Total
"7";"2";OVOLREC;20000.00000;Total
"7";"2";OSUPPL;0.00000;Total
"7";"2";VOLINVENT;287096.25229;Total
"2";"3";OSUPREC;105.26316;Total
"2";"3";OVOLREC;20000.00000;Total
"2";"3";OSUPPL;0.00000;Total
"2";"3";VOLINVENT;286164.38557;Total
"7";"3";OSUPREC;105.26316;Total
"7";"3";OVOLREC;20000.00000;Total
"7";"3";OSUPPL;0.00000;Total
"7";"3";VOLINVENT;286164.38557;Total
"2";"4";OSUPREC;95.99026;Total
"2";"4";OVOLREC;20000.00000;Total
"2";"4";OSUPPL;26.73159;Total
"2";"4";VOLINVENT;282451.36278;Total
"7";"4";OSUPREC;95.99026;Total
"7";"4";OVOLREC;20000.00000;Total
"7";"4";OSUPPL;26.73159;Total
"7";"4";VOLINVENT;282451.36278;Total
"2";"5";OSUPREC;93.45794;Total
"2";"5";OVOLREC;20000.00000;Total
"2";"5";OSUPPL;93.45794;Total
"2";"5";VOLINVENT;281296.26599;Total
"7";"5";OSUPREC;93.45794;Total
"7";"5";OVOLREC;20000.00000;Total
"7";"5";OSUPPL;93.45794;Total
"7";"5";VOLINVENT;281296.26599;Total
"2";"6";OSUPREC;159.23945;Total
"2";"6";OVOLREC;20000.00000;Total
"2";"6";OSUPPL;41.59239;Total
"2";"6";VOLINVENT;281638.49539;Total
"7";"6";OSUPREC;159.23945;Total
"7";"6";OVOLREC;20000.00000;Total
"7";"6";OSUPPL;41.59239;Total
"7";"6";VOLINVENT;281638.49539;Total
"2";"7";OSUPREC;161.51576;Total
"2";"7";OVOLREC;20000.00000;Total
"2";"7";OSUPPL;50.40465;Total
"2";"7";VOLINVENT;279085.00118;Total
"7";"7";OSUPREC;161.51576;Total
"7";"7";OVOLREC;20000.00000;Total
"7";"7";OSUPPL;50.40465;Total
"7";"7";VOLINVENT;279085.00118;Total
"2";"8";OSUPREC;162.67943;Total
"2";"8";OVOLREC;20000.00000;Total
"2";"8";OSUPPL;57.41627;Total
"2";"8";VOLINVENT;271661.38965;Total
"7";"8";OSUPREC;162.67943;Total
"7";"8";OVOLREC;20000.00000;Total
"7";"8";OSUPPL;57.41627;Total
"7";"8";VOLINVENT;271661.38965;Total
"2";"9";OSUPREC;155.42440;Total
"2";"9";OVOLREC;20000.00000;Total
"2";"9";OSUPPL;59.43414;Total
"2";"9";VOLINVENT;264832.11948;Total
"7";"9";OSUPREC;155.42440;Total
"7";"9";OVOLREC;20000.00000;Total
"7";"9";OSUPPL;59.43414;Total
"7";"9";VOLINVENT;264832.11948;Total
"2";"10";OSUPREC;136.89344;Total
"2";"10";OVOLREC;20000.00000;Total
"2";"10";OSUPPL;74.24302;Total
"2";"10";VOLINVENT;254001.12423;Total
"7";"10";OSUPREC;136.89344;Total
"7";"10";OVOLREC;20000.00000;Total
"7";"10";OSUPPL;74.24302;Total
"7";"10";VOLINVENT;254001.12423;Total
"2";"11";OSUPREC;193.39930;Total
"2";"11";OVOLREC;20000.00000;Total
"2";"11";OSUPPL;3.35233;Total
"2";"11";VOLINVENT;243511.72750;Total
"7";"11";OSUPREC;193.39930;Total
"7";"11";OVOLREC;20000.00000;Total
"7";"11";OSUPPL;3.35233;Total
"7";"11";VOLINVENT;243511.72750;Total
"2";"12";OSUPREC;187.17192;Total
"2";"12";OVOLREC;20000.00000;Total
"2";"12";OSUPPL;25.65616;Total
"2";"12";VOLINVENT;236761.69393;Total
"7";"12";OSUPREC;187.17192;Total
"7";"12";OVOLREC;20000.00000;Total
"7";"12";OSUPPL;25.65616;Total
"7";"12";VOLINVENT;236761.69393;Total
"2";"13";OSUPREC;187.55981;Total
"2";"13";OVOLREC;20000.00000;Total
"2";"13";OSUPPL;24.88038;Total
"2";"13";VOLINVENT;229719.46965;Total
"7";"13";OSUPREC;187.55981;Total
"7";"13";OVOLREC;20000.00000;Total
"7";"13";OSUPPL;24.88038;Total
"7";"13";VOLINVENT;229719.46965;Total
"2";"14";OSUPREC;185.14147;Total
"2";"14";OVOLREC;20000.00000;Total
"2";"14";OSUPPL;29.71707;Total
"2";"14";VOLINVENT;223271.58673;Total
"7";"14";OSUPREC;185.14147;Total
"7";"14";OVOLREC;20000.00000;Total
"7";"14";OSUPPL;29.71707;Total
"7";"14";VOLINVENT;223271.58673;Total
"2";"15";OSUPREC;139.30680;Total
"2";"15";OVOLREC;20000.00000;Total
"2";"15";OSUPPL;121.38639;Total
"2";"15";VOLINVENT;221287.94141;Total
"7";"15";OSUPREC;139.30680;Total
"7";"15";OVOLREC;20000.00000;Total
"7";"15";OSUPPL;121.38639;Total
"7";"15";VOLINVENT;221287.94141;Total
"2";"16";OSUPREC;192.57570;Total
"2";"16";OVOLREC;20000.00000;Total
"2";"16";OSUPPL;0.00000;Total
"2";"16";VOLINVENT;219296.06002;Total
"7";"16";OSUPREC;192.57570;Total
"7";"16";OVOLREC;20000.00000;Total
"7";"16";OSUPPL;0.00000;Total
"7";"16";VOLINVENT;219296.06002;Total
"2";"17";OSUPREC;198.83381;Total
"2";"17";OVOLREC;20000.00000;Total
"2";"17";OSUPPL;0.00000;Total
"2";"17";VOLINVENT;217420.79753;Total
"7";"17";OSUPREC;198.83381;Total
"7";"17";OVOLREC;20000.00000;Total
"7";"17";OSUPPL;0.00000;Total
"7";"17";VOLINVENT;217420.79753;Total
"2";"18";OSUPREC;197.92663;Total
"2";"18";OVOLREC;20000.00000;Total
"2";"18";OSUPPL;0.00000;Total
"2";"18";VOLINVENT;214691.28820;Total
"7";"18";OSUPREC;197.92663;Total
"7";"18";OVOLREC;20000.00000;Total
"7";"18";OSUPPL;0.00000;Total
"7";"18";VOLINVENT;214691.28820;Total
"2";"19";OSUPREC;196.57111;Total
"2";"19";OVOLREC;20000.00000;Total
"2";"19";OSUPPL;0.00000;Total
"2";"19";VOLINVENT;212076.07529;Total
"7";"19";OSUPREC;196.57111;Total
"7";"19";OVOLREC;20000.00000;Total
"7";"19";OSUPPL;0.00000;Total
"7";"19";VOLINVENT;212076.07529;Total
"2";"20";OSUPREC;177.63500;Total
"2";"20";OVOLREC;20000.00000;Total
"2";"20";OSUPPL;0.00000;Total
"2";"20";VOLINVENT;209844.14431;Total
"3";"1";OSUPREC;117.64706;Total
"3";"1";OVOLREC;20000.00000;Total
"3";"1";OSUPPL;0.00000;Total
"3";"1";VOLINVENT;288274.19059;Total
"7";"20";OSUPREC;177.63500;Total
"7";"20";OVOLREC;20000.00000;Total
"7";"20";OSUPPL;0.00000;Total
"7";"20";VOLINVENT;209844.14431;Total
"8";"1";OSUPREC;117.64706;Total
"8";"1";OVOLREC;20000.00000;Total
"8";"1";OSUPPL;0.00000;Total
"8";"1";VOLINVENT;288274.19059;Total
"3";"2";OSUPREC;111.11111;Total
"3";"2";OVOLREC;20000.00000;Total
"3";"2";OSUPPL;0.00000;Total
"3";"2";VOLINVENT;287096.25229;Total
"8";"2";OSUPREC;111.11111;Total
"8";"2";OVOLREC;20000.00000;Total
"8";"2";OSUPPL;0.00000;Total
"8";"2";VOLINVENT;287096.25229;Total
"3";"3";OSUPREC;105.26316;Total
"3";"3";OVOLREC;20000.00000;Total
"3";"3";OSUPPL;0.00000;Total
"3";"3";VOLINVENT;286164.38557;Total
"8";"3";OSUPREC;105.26316;Total
"8";"3";OVOLREC;20000.00000;Total
"8";"3";OSUPPL;0.00000;Total
"8";"3";VOLINVENT;286164.38557;Total
"3";"4";OSUPREC;95.99026;Total
"3";"4";OVOLREC;20000.00000;Total
"3";"4";OSUPPL;26.73159;Total
"3";"4";VOLINVENT;282451.36278;Total
"8";"4";OSUPREC;95.99026;Total
"8";"4";OVOLREC;20000.00000;Total
"8";"4";OSUPPL;26.73159;Total
"8";"4";VOLINVENT;282451.36278;Total
"3";"5";OSUPREC;93.45794;Total
"3";"5";OVOLREC;20000.00000;Total
"3";"5";OSUPPL;93.45794;Total
"3";"5";VOLINVENT;281296.26599;Total
"8";"5";OSUPREC;93.45794;Total
"8";"5";OVOLREC;20000.00000;Total
"8";"5";OSUPPL;93.45794;Total
"8";"5";VOLINVENT;281296.26599;Total
"3";"6";OSUPREC;159.23945;Total
"3";"6";OVOLREC;20000.00000;Total
"3";"6";OSUPPL;41.59239;Total
"3";"6";VOLINVENT;281638.49539;Total
"8";"6";OSUPREC;159.23945;Total
"8";"6";OVOLREC;20000.00000;Total
"8";"6";OSUPPL;41.59239;Total
"8";"6";VOLINVENT;281638.49539;Total
"3";"7";OSUPREC;161.51576;Total
"3";"7";OVOLREC;20000.00000;Total
"3";"7";OSUPPL;50.40465;Total
"3";"7";VOLINVENT;279085.00118;Total
"8";"7";OSUPREC;161.51576;Total
"8";"7";OVOLREC;20000.00000;Total
"8";"7";OSUPPL;50.40465;Total
"8";"7";VOLINVENT;279085.00118;Total
"3";"8";OSUPREC;162.67943;Total
"3";"8";OVOLREC;20000.00000;Total
"3";"8";OSUPPL;57.41627;Total
"3";"8";VOLINVENT;271661.38965;Total
"8";"8";OSUPREC;162.67943;Total
"8";"8";OVOLREC;20000.00000;Total
"8";"8";OSUPPL;57.41627;Total
"8";"8";VOLINVENT;271661.38965;Total
"3";"9";OSUPREC;155.42440;Total
"3";"9";OVOLREC;20000.00000;Total
"3";"9";OSUPPL;59.43414;Total
"3";"9";VOLINVENT;264832.11948;Total
"8";"9";OSUPREC;155.42440;Total
"8";"9";OVOLREC;20000.00000;Total
"8";"9";OSUPPL;59.43414;Total
"8";"9";VOLINVENT;264832.11948;Total
"3";"10";OSUPREC;136.89344;Total
"3";"10";OVOLREC;20000.00000;Total
"3";"10";OSUPPL;74.24302;Total
"3";"10";VOLINVENT;254001.12423;Total
"8";"10";OSUPREC;136.89344;Total
"8";"10";OVOLREC;20000.00000;Total
"8";"10";OSUPPL;74.24302;Total
"8";"10";VOLINVENT;254001.12423;Total
"3";"11";OSUPREC;193.39930;Total
